referencia;designacao;localizacao
238742;CREMONE ROTOLINE 2G BRUTO;
2394841H;MANETE / MANETE CASTANHA 8/92 - BREST;
239753;CONJUNTO ACESSORIOS PARA ELEVAVEL GEALAN S 8000 ESQUEMA A;
239756;CONJUNTO ACESSORIOS PARA ELEVAVEL GEALAN S 8000 ESQUEMA C;
239759;CONJUNTO ACESSORIOS PARA ELEVAVEL GEALAN S 8000 ESQUEMA G;
239855;BATENTE PRATA P/FOLHA ELEVAVEL;
240636;CREMONA PATIO 150 ALU ZL AG.37.5;
241051;FECHADURA DE ROLETES 4V C500 35/92  2200MM;
241059;FECHADURA ROLETES 4V C500 40/92  2200MM;
241068;FECHADURA DE ROLETES 4V C500;
241085;FECHADURA DE ROLETES 4V C500 55/92  2200MM;
241094;FECHADURA DE ROLETES 4V C500 65/92  2200MM;
241147;CALÇO PARA CARRO ELEVAVEL ALUSYS RTC;A2.B.5.3
241287;FECHADURA 35/92 2200 MM PRATA;
241295;FECHADURA 40/92 2200 MM PRATA;
241304;FECHADURA 45/92 2200 MM PRATA;
241321;FECHADURA 55/92 2200 MM PRATA;
241348;FECHADURA 35/92 2200 MM PRATA (20MM);
241689;FECHADURA BICO DE PAPAGAIO Z500  35/92  2200 MM;ES10P7
241693;FECHADURA BICO DE PAPAGAIO Z500  40/92  2200 MM;
241701;FECHADURA BICO DE PAPAGAIO Z500  45/92  2200 MM;
242073;CAPA PRATA PARA GUIA ESTREITA 3 MTS PATIO FOLD;
242074;CAPA PRATA PARA GUIA ESTREITA 4 MTS PATIO FOLD;
242080;CAPA PRATA PARA GUIA LARGA 3 MTS PATIO FOLD;
242081;CAPA PRATA PARA GUIA LARGA 4 MTS PATIO FOLD;
242485;DOBRADIÇA 2D 85MM C/REGULAÇAO P.RECTO BRANCA;
242659;TRINCO REDONDO PARA FECHADURA VAI-VEM 35MM;
242660;TRINCO REDONDO PARA FECHADURA VAI-VEM 40MM;
242661;TRINCO REDONDO PARA FECHADURA VAI-VEM 45MM;F3P4
242663;TRINCO REDONDO PARA FECHADURA VAI-VEM 55MM;
242664;TRINCO REDONDO PARA FECHADURA VAI-VEM 65MM;
242672;DOB.SIMPLES P/ALUM. EIXO INOX ACETINADO ESQ.;
242673;DOB.SIMPLES P/ALUM. EIXO INOX ACETINADO DTª;
242726;CREMONA 2ª FOLHA PARA CREM.AG.8MM C.V. 621-900 NT;CAP1
242728;CREMONA 2ª FOLHA PARA CREM.AG.8MM C.V. 901-1200 NT;BS2P2
242730;CREMONA 2ª FOLHA C.FIXA 601-800 NT;CX3
242731;CREMONA 2ª FOLHA C.FIXA TB8 601-800 NT;BS11P1
242732;CREMONA 2ª FOLHA C.FIXA 801-1000 NT;BS6P1
243345;TAMPA PLASTICA P/DOBRADIÇA PORTA HTB 90 BRANCA;
243346;TAMPA PLASTICA P/DOBRADIÇA PORTA HTB 90 PRETA;
243918;DOBRADIÇA PORTA HTB 90 16,5-19 / 34 CASTANHA;
243920;DOBRADIÇA PORTA HTB 90 16,5-19 / 31 BRANCA;
244351;PERFIL DE REMATE PARA SOLEIRA ELEVAVEL 6500 MM;
244516;CLICK MAGNETICO FOLHA 9MM NT;
244517;CLICK MAGNETICO FOLHA 13MM NT;CS5P3
244594;CLICK PARA CREMONA 2ª FOLHA 7/8 NT;CS9P3
245023;DOBRADIÇA INFERIOR FOLHA R18 NT ROYAL ESQ;
245025;DOBRADIÇA INFERIOR FOLHA R18 NT ROYAL DTº;
245035;DOBRADIÇA INFERIOR ARO Nº 13 NT ROYAL ESQ;
245038;DOBRADIÇA INFERIOR ARO Nº 13 NT ROYAL DTº;
245320;CLICK MAGNETICO KOMMERLING;A2 CX9
245321;CLICK MAGNETICO REHAU;CS5P3
245323;CLICK MAGNETICO VEKA/CORTIZO/DECEUNINCK;CS5P4
245363;TAMPA P/DOB.INF.ARO 6/130;OB PAL 4
245368;COMPASSO  P/JANELA TRAPEZIO 250 12/18/9;
245370;COMPASSO  P/JANELA TRAPEZIO 350 12/18/9;
245374;COMPASSO  P/JANELA TRAPEZIO 500 12/18/9;OB PAL 4
245375;COMPASSO  P/JANELA TRAPEZIO 150 12/20/9 NT ESQº;
245376;COMPASSO  P/JANELA TRAPEZIO 150 12/20/9 NT DTº;
245377;COMPASSO  P/JANELA TRAPEZIO 250 12/20/9 NT ESQº;
245378;COMPASSO  P/JANELA TRAPEZIO 250 12/20/9 NT DTº;
245379;COMPASSO  P/JANELA TRAPEZIO 350 12/20/9 NT ESQº;
245380;COMPASSO  P/JANELA TRAPEZIO 350 12/20/9 NT DTº;
245381;COMPASSO  P/JANELA TRAPEZIO 500 12/20/9 NT ESQº;
245382;COMPASSO  P/JANELA TRAPEZIO 500 12/20/9 NT DTº;
245383;COMPASSO K  P/JANELA TRAPEZIO 150 12/20/13 ESQ.;OB PAL 4
245384;COMPASSO K  P/JANELA TRAPEZIO 150 12/20/13 DTº.;CX21
245385;COMPASSO K  P/JANELA TRAPEZIO 250 12/20/13 ESQ.;
245386;COMPASSO K  P/JANELA TRAPEZIO 250 12/20/13 DTº;CX21
245387;COMPASSO K  P/JANELA TRAPEZIO 350 12/20/13 ESQ.;CX2
245388;COMPASSO K  P/JANELA TRAPEZIO 350 12/20/13 DTº;FS4P5
245389;COMPASSO K  P/JANELA TRAPEZIO 500 12/20/13 ESQ.;FS4P5
245390;COMPASSO K  P/JANELA TRAPEZIO 500 12/20/13 DTº;FS4P5
245401;COMPASSO P/JANELA TRAPEZIO E5 12/18/9 ESQº;
245452;CONJº CARROS PATIO 180Z NT 9MM ESQ.;A2.C.3.4
245453;CONJº CARROS PATIO 180Z NT 9MM DTº;A2.C.3.4
245454;CONJº CARROS PATIO 180Z NT 13MM ESQ.;
245460;CONJº CARROS PATIO 180Z NT 13MM ESQ.;
245461;TRANSMISSAO DE ANGULO KT 9 MM GOR;
245462;TRANSMISSAO DE ANGULO KT 9 MM OR;
245465;TRANSMISSAO DE ANGULO KT 13MM GOR;
245466;TRANSMISSAO DE ANGULO KT 13MM OR;
245467;ANGULO SUP.ESQ. PATIO 150Z GOL;
245468;ANGULO SUP. ESQ. PATIO 150Z GOL;
245469;ANGULO OP Z GUR;
245470;ANGULO OP Z UR;
245473;PEÇA DE UNIAO VERTICAL PARA OP Z 900-1200;
245474;PEÇA DE UNIAO VERTICAL PARA OP Z 1201-1600;
245475;PEÇA DE UNIAO VERTICAL PARA OP Z 1601-2000;BS12P2
245477;PEÇA DE UNIAO VERTICAL PARA OP Z 1801-2000;
245478;PEÇA DE UNIAO VERTICAL PARA OP Z 2001-2400;
245479;PEÇA DE UNIAO HORIZONTAL PARA OP Z 720-1050;BS12P1
245480;PEÇA DE UNIAO HORIZONTAL PARA OP Z 1051-1250;BS12P2
245481;PEÇA DE UNIAO HORIZONTAL PARA OP Z 1251-1450;
245482;PEÇA DE UNIAO HORIZONTAL PARA OP Z 1451-1650;BS12P1
245483;PEÇA DE UNIAO HORIZONTAL PARA OP Z 1651-1850;
245484;CREMONA C.FIXA PARA OP Z 1800-2000;
245485;CREMONA C.FIXA PARA OP Z 2001-2200;
245486;CREMONA C.VARIAVEL PARA OP Z 900-1200;
245487;CREMONA C.VARIAVEL PARA OP Z 1201-1600;
245488;CREMONA C.VARIAVEL PARA OP Z 1601-2000;
245494;CREMONA C.FIXA C/ CIL. TB 30 PARA OP Z 1800-2000;
245495;CREMONA C.FIXA C/ CIL. TB 30 PARA OP Z 2001-2200;
245498;CREMONA C.VARIAVEL C/ CIL. TB 30 PARA OP Z 1601-2000;
245499;CREMONA C.VARIAVEL C/ CIL. TB 40 PARA OP Z 1601-2000;
245500;PROLONGADOR PARA OP Z 250 MM;BS12P1
245501;PROLONGADOR 1 V PARA OP Z 250 MM;
245542;CONJº CARROS PATIO 180Z NT 9MM ESQ.;
2456458H;MANETE HOPPE VALENCIA 35MM BRONZE ANTIGO;
2456618H;MANETE HOPPE VALENCIA 35MM BRUNITO ANTIGO;
2456669H;MANETE HOPPE SINGAPORE 35MM LATAO ANTIGO;
2456677H;MANETE HOPPE SINGAPORE 35MM BRONZE ANTIGO;
2456685H;MANETE HOPPE SINGAPORE 35MM PRATA ANTIGO;
2456693H;MANETE HOPPE SINGAPORE 35MM BRUNITO ANTIGO;
245671;PERFIL DE REMATE PARA SOLEIRA ELEVAVEL 3500 MM;
245674;PERFIL DE REMATE PARA SOLEIRA ELEVAVEL 2000 MM;
2456773H;MANETE HOPPE LISBOA 35MM BRUNITO ANTIGO;
245685;LIMITADOR ABERTURA P/MANETE - BRANCO;CS6P5
245686;LIMITADOR ABERTURA P/MANETE - CASTANHO;CS4P3
245687;PROLONGADOR PARA JANELAS REDONDAS NX 1V;CS2P4
245688;PROLONGADOR PARA JANELAS REDONDAS NT 1E;CX10
245689;COMPASSO PARA JANELAS REDONDAS 1E NT 12/18/9 DTº/ESQº;CS2P4
245692;COMPASSO PARA JANELAS REDONDAS 1E NT 12/20/9;CX3
245693;COMPASSO PARA JANELAS REDONDAS 1V NT 12/20/13 ESQº;
245694;COMPASSO PARA JANELAS REDONDAS 1V NT 12/20/13 DTº;
245695;COMPASSO PARA JANELAS REDONDAS 1E NT 12/20/13 ESQº;CS2P4
245696;COMPASSO PARA JANELAS REDONDAS 1E NT 12/20/13 DTº;CS2P4
245703;COMPASSO PARA JANELAS REDONDAS E5 DTº;
245705;COMPASSO PARA JANELAS REDONDAS 1E E5 12/20/9;
245706;SUPORTE DE COMPASSO NT 3/100 C/AFIN.P/JANELAS REDONDAS;CS1P4
245707;SUPORTE DE COMPASSO NT 6/130 C/AFIN.P/JANELAS REDONDAS;CS2P2
245708;SUPORTE DE COMPASSO NT E5 C/AFIN.P/JANELAS REDONDAS;
245709;SUPORTE DE COMPASSO NT A 12/18/9;CS2P2
245711;SOPORTE DE COMPASSO NT E5 12/20;
245712;SUPORTE DE COMPASSO NT E5 C/AFIN.P/JANELAS REDONDAS;
245713;SUPORTE DE COMPASSO NT E5 C/AFIN.P/JANELAS REDONDAS;
245714;SUPORTE DE COMPASSO NT 3/100 A 12/20/9;
245715;PROLONGADOR VERTICAL P/JANELA REDONDA 500-700;BS9P1
245716;PROLONGADOR VERTICAL P/JANELA REDONDA 1V / 1E 701-900;BS9P1
245717;PROLONGADOR VERTICAL P/JANELA REDONDA 1E 701-900;BS9P1
245718;PROLONGADOR VERTICAL P/JANELA REDONDA 1V/1E 901-1100;BS9P1
245719;PROLONGADOR VERTICAL P/JANELA REDONDA 1E 901-1100;
245720;PROLONGADOR VERTICAL P/JANELA REDONDA 1V 1101-1300;BS9P1
245721;PROLONGADOR VERTICAL P/JANELA REDONDA 1E 1101-1300;
245722;PROLONGADOR VERTICAL P/JANELA REDONDA 1 V / 1 E 1301-1500;BS6P1
245723;PROLONGADOR VERTICAL P/JANELA REDONDA 2E 1301-1500;
245724;PROLONGADOR VERTICAL P/JANELA REDONDA 1 V / 1 E 1501-1700;B4P2
245725;PROLONGADOR VERTICAL P/JANELA REDONDA 2E 1501-1700;BS10P1
245726;PROLONGADOR VERTICAL P/JANELA REDONDA 1 V / 2E 1701-1900;BS11P2
245727;PROLONGADOR VERTICAL P/JANELA REDONDA 2E 1701-1900;
245728;PROLONGADOR HORIZONTAL P/JANELA REDONDA 400-500;BS9P1
245729;PROLONGADOR HORIZONTAL P/JANELA REDONDA 501-700;BS9P1
245730;PROLONGADOR HORIZONTAL P/JANELA REDONDA 1E 701-900;BS9P1
245731;PROLONGADOR HORIZONTAL P/JANELA REDONDA 1E 901-1100;A3.CX 30
245732;PROLONGADOR HORIZONTAL P/JANELA REDONDA 1E 1101-1300;CX10
245734;PROLONGADOR P/JANELAS REDONDAS 2E 601-1300 NT;CX10
245735;PROLONGADOR P/JANELAS REDONDAS 1V 601-1300 NT;
245736;PROLONGADOR P/JANELAS REDONDAS 2E 601-1300 NT;
245741;DOBRADIÇA INF.FOLHA ESQ. NT E5 12/18/9;
245742;DOBRADIÇA INF.FOLHA DTª NT E5 12/18/9;
245751;DOB.INFERIOR FOLHA ESQ. NT;
245752;DOB.INFERIOR FOLHA DTª NT;
245755;DOBRADIÇA FOLHA ESQ. NT 3/100 A 12/18/9;
245756;DOBRADIÇA FOLHA DTª  NT 3/100 A 12/18/9;
245760;DOBRADIÇA INFERIOR DA FOLHA NT 12/20/13 DTª;
245764;SEGUNDO COMPASSO PARA JANELAS REDONDAS NT;
245765;CALÇO COM AFINAÇAO NT 4 E 12 MM;
245800;SOLEIRA PARA ELEVAVEL GEALAN S 9000 - 3000 MM;
245803;SOLEIRA PARA ELEVAVEL GEALAN S 9000 - 3500 MM;
245806;SOLEIRA PARA ELEVAVEL GEALAN S 9000 - 4500 MM;
245809;SOLEIRA PARA ELEVAVEL GEALAN S 9000 - 5500 MM;
245812;SOLEIRA PARA ELEVAVEL GEALAN S 9000 - 6500 MM;
2462891H;MANETE-MANETE HOPPE TOKYO 7/70 PRETA;
246638;MANETE ROTOLINE COM CHAVE 35MM BRANCA;CS16P2
246683;CONJUNTO ACESSORIOS PARA ELEVAVEL GEALAN S 9000 ESQUEMA A;
246686;CONJUNTO ACESSORIOS PARA ELEVAVEL GEALAN S 9000 ESQUEMA C;
246698;CONJº ACESS.LAT.+SOB. P/ SOL.ELEV.GEALAN S 9000 ESQ A - DTº;
24670.050.050;PARAFUSO MANETE 5 X 50;CS5P2
246701;CONJº ACESS.LAT.+SOB. P/ SOL.ELEV.GEALAN S 9000 ESQ A - ESQº;
246718;COMPASSO P/JANELA TRAPEZIO E5 150 12/18/9;PAL 1
246720;COMPASSO P/JANELA TRAPEZIO E5 250 12/18/9 ESQ;
246721;COMPASSO P/JANELA TRAPEZIO E5 250 12/18/9 DTº;CX2
246722;COMPASSO P/JANELA TRAPEZIO E5 350 12/18/9  ESQ;
246723;COMPASSO P/JANELA TRAPEZIO E5 350 12/18/9 DTº;OB PAL 4
246724;COMPASSO P/JANELA TRAPEZIO E5 500 12/18/9 ESQ;
246725;COMPASSO P/JANELA TRAPEZIO E5 500 12/18/9 DTº;CX2
246734;PEÇA DE LIGAÇAO P/GUIA COMPASSO JAN.TRAPEZIO;DS3P6
24731G;MA500 KIT INSTALAÇAO IMAN LADO DOBRADIÇA;
24740G;MA500 IMA RETENÇAO COM ANCORAGEM;
249017;REFORÇO FOLHA DE JANELA ALUPLAST 4000 35X29X1.5;
2497891;MANETE / MANETE TITAN 8/92 - DENVER;
250248;ELEMENTO FECHO BASC. OP Z MAD.12/18/9;
250251;ELEMENTO FECHO BASC. OP Z MAD.12/20/9;
250256;ELEMENTO FECHO BASC. OP Z KBE;CX 9
250263;ELEMENTO FECHO BASC. OP Z MAD. 7/8 12/18/9;
250276;ELEMENTO FECHO BASC. OP S MAD.12/20/9;
250277;ELEMENTO FECHO BASC. OP S MAD.12/18/9;CX 5
250278;ELEMENTO FECHO BASC. OP S MAD. 7/8 12/18/9;
250280;ELEMENTO FECHO BASC. OP S KOMMERLING;CX 5
250282;ELEMENTO FECHO BASC. OP S THYSSEN;
250283;ELEMENTO FECHO BASC. OP S VEKA;
250284;ELEMENTO FECHO BASC. OP S KBE;CX 5
250285;ELEMENTO FECHO BASC. OP S KBE;
250286;ELEMENTO FECHO BASC. OP S REHAU;CX 5
250287;ELEMENTO FECHO BASC. OP S ALUPLAST/SCHUCO;CX 5
250288;ELEMENTO FECHO BASC. OP S KBE;CX5
250289;ELEMENTO FECHO BASC. OP S VEKA;CX 5
2503189H;MANETE JANELA SECUSTIK HOPPE STOCKHOLM F9 (TITAN);
250577;DOB.INF.FOLHA CANAL 12/20/9 ESQ.;OB PAL 4
250578;DOB.INF.FOLHA CANAL 12/20/9 DTª;OB PAL 4
250583;DOBRADIÇA INF. FOLHA S/CANAL ESQ. 12/18/9;OB PAL 4
250590;DOBRADIÇA INF. FOLHA S/CANAL DTª 12/18/9;
250725;DOBRADIÇA INTERMEDIA OCULTA ARO REHAU 730;CS2P1
250726;DOB.INTERMEDIA OCULTA ARO KOMMERLING;CS2P1
250727;DOBRADIÇA INTERMEDIA OCULTA ARO KBE;
250728;DOBRADIÇA INTERMEDIA OCULTA ARO VEKA;CS2P1
250729;DOBRADIÇA INTERMEDIA OCULTA ARO VEKA;
250730;DOBRADIÇA INTERMEDIA OCULTA ARO VEKA;
250731;DOBRADIÇA INTERMEDIA OCULTA ARO KBE;
250825;SUPORTE DE COMPASSO NT E5 C/AFIN.P/JANELAS REDONDAS;
250828;DOBRADIÇA INFERIOR DA FOLHA ESQ. 12/20/13;
2523425300;PARAFUSO PVC S 4,2 X 25 INOX;
2523435300;PARAFUSO PVC S 4,2 X 35 INOX;
25269G;TAMPA P/MOLA TS3000/2000V PRATA;GEZE P4
253240;TRANSMISSAO DE ANGULO PARA JANELAS REDONDAS;
253242;COM.SUP.ESQ.PAT. Z ALU GOL(G01W-217428);
253245;COM.SUP.ESQ.PAT. Z ALU OL(G01W-217428);
253246;COM.SUP.ESQ.PAT. Z ALU OR(G00W-217428);CX 4
253247;ANG.SUP.PATIO ALU Z (Nº203);ES10P8
253248;ANG.SUP.PATIO ALU Z (Nº204);ES10P8
253249;BARRA UNIAO OP ALU 150 Z (205);
253251;CONEÇÃO CREMONE PATIO Z;
253253;BARRA UNIAO COM CLICK OP ALU 150 Z ESQ (207/208);
253254;BARRA UNIAO COM CLICK OP ALU 150 Z DTº (207/208);
253289;COM.SUP.DTº OP Z ALU GOR (G00W);
253811;GUIA DE COMPASSO ROYAL NT 150/360-410 MM;ES10P8
253812;GUIA DE COMPASSO ROYAL NT 250/410-600 MM;
253813;GUIA DE COMPASSO ROYAL NT 350/601-800 MM;
253814;GUIA DE COMPASSO ROYAL NT 500/801-1000 MM;
253815;GUIA DE COMPASSO ROYAL NT 500/1001-1400;
254023;DOB.FOLHA ROYAL NT 18 MM ESQ.;
254025;DOB.FOLHA ROYAL NT 18 MM DTº;
254026;DOBRADIÇA INFERIOR FOLHA NT ROYAL ESQ.;
254028;DOBRADIÇA INFERIOR FOLHA NT ROYAL DTª;
254030;DOBRADIÇA INFERIOR DO ARO Nº5 NT ROYAL;
254035;DOBRADIÇA INFERIOR ARO ESQª NT ROYAL;
254038;DOBRADIÇA INFERIOR ARO DTª NT ROYAL;
254041;COMPASSO 250 Nº5 360-800 NT ROYAL;
254068;BASE FALSO COMPASSO NT ROYAL;
254264;COMPASSO Nº13 - 250 NT 360-800 ROYAL ESQ;
254265;COMPASSO Nº13 - 250 NT 360-800 ROYAL DTº;
254266;COMPASSO Nº13 - 450 NT 801-1400 ROYAL ESQ;
254267;COMPASSO Nº13 - 450 NT 801-1400 ROYAL DTº;
254601;JOGO CONEXAO CREMONE AL 540-10;
254649S;ACESS.ENGRENAGEM DE TRAVAMENTO CENTRAL ZV 16;
254650S;DOBRADIÇA P/PIVOTANTE TORNADO;
254651S;CAPA BRANCA PARA DOBRADIÇA PIVOTANTE TORNADO;
254653S;CAPA BRANCA PARA DOBRADIÇA PIVOTANTE TORNADO;
254655S;CONJUNTO ELEMENTOS FECHO PIVOTANTE;
254658S;CREMONA HORIZONTAL 1451-1900;
254661S;ACESS.VERTICAL TRAVAMENTO 1201-1450;
254662S;ACESS.VERTICAL TRAVAMENTO 1701-1950;
254663S;MANETE P/PIVOTANTE BRANCA QUAD.30 MM;
2548192H;MANETE C/CHAVE AMSTERDAO 35MM INOX;
255055;PASSADOR BATENTE PARA PORTA DE ENTRADA;
255211;ADAPTADOR 13 MM PARA ANGULO PEQUENO;CS10P2
255224;COMPASSO PARA BASCULANTE NT;
255237;SEGUNDO COMPASSO NT;CS9P3
255273;TRANSMISSAO ANGULO PARA JANELAS REDONDAS;ES3P1.5
255280;TIRANTE NT 400 1E TERMINAL;BS8P1
255281;TIRANTE NT 600 1E TERMINAL;BS11P1
255282;TIRANTE NT 600 1E COM SERRILHA;A2.P4
255284;TIRANTE NT 200 1P TERMINAL;
255285;TIRANTE NT 400 1P TERMINAL;
255286;TIRANTE NT 600 1P TERMINAL;
255295;FECHADURA CB50 FECHO RECTO 35/92 2200MM;A3.OB1
255369;MANETE ROTOLINE 35MM TITAN;DS5P2
255372;FECHADURA C500 FECHO RECTO 35/92 2200MM;
255374;FECHADURA C500 FECHO RECTO 35/92 2400MM;
255378;FECHADURA C500 FECHO RECTO 40/92 2200MM;ES10P7
255391;FECHADURA C500 FECHO RECTO 45/92 2200MM;
255395;FECHADURA C500 FECHO RECTO 45/92 2400MM;
255399;FECHADURA C500 FECHO RECTO 50/92 2200MM;
255402;FECHADURA C500 FECHO RECTO 55/92 2200MM;
255407;FECHADURA C500 FECHO RECTO 55/92 2200MM;
255412;FECHADURA C500 FECHO RECTO 50/92 2400MM;
255418;FECHADURA C500 FECHO RECTO 65/92 2200MM;
255420;FECHADURA C500 FECHO RECTO 65/92 2400MM;A3.OB1
255445;DOBRADIÇA INTERMEDIA OCULTA FOLHA ROYAL;
255447;DOBRADIÇA INTERMEDIA OCULTA ARO 20 MM ROYAL;
2556757H;MANETE HOPPE LISBOA 35MM BRONZE ANTIGO;
255779;CHAPA TESTAS PARA TRINCO ELETRICO MADEIRA 9 MM ESQª;F2P4
255780;CHAPA TESTAS PARA TRINCO ELETRICO MADEIRA 9 MM DTº;F5P4
255878;FECHADURA C500 FECHO RECTO 65/92  20/3 2200MM;
255957;GUIA DE COMPASSO 2ª FOLHA 290-410 150/300 NT;A3.OB1
255967;GUIA DE COMPASSO 2ª FOLHA 411-600 250/490 NT;BS8P1
256007;FECHADURA C500 FECHO RECTO 40/92 U7X24 2200MM;
256013;FECHADURA C500 FECHO RECTO 45/92 U7X24 2200MM;
256017;CHAPA DE LIGAÇAO NT;
256020;CLICK DA FOLHA P/CREMONA;CS6P4
256024;GUIA DE COMPASSO 250 NT  411-600;BS12P1
256029;CHAPA TESTAS P/MADEIRA 7/8 ESQ;CS1P5
256030;CHAPA TESTAS P/MADEIRA 7/8 DTº;CS1P5
256031;CHAPA TESTAS P/MADEIRA ESQ;F5P4
256032;CHAPA TESTAS P/MADEIRA DTº;F5P4
256051;CHAPA TESTAS ALUPLAST ID 2000/SCHUCO ESQ.;
256052;CHAPA TESTAS ALUPLAST ID 2000/SCHUCO DTº;
256053;CHAPA TESTAS ELECTRICO ALUPLAST/SCHUCO ESQ.;
256054;CHAPA TESTAS ELECTRICO ALUPLAST/SCHUCO DTº;
256060;CHAPA TESTAS KBE ESQ;
256061;CHAPA TESTAS KBE DTº;
256062;CHAPA TESTAS ELECTRICO KBE ESQ.;
256063;CHAPA TESTAS ELECTRICO KBE DTº;
256065;CHAPA TESTAS KOMMERLING ESQ.;
256066;CHAPA TESTAS KOMERLING DTº;
256067;CHAPA TESTAS ELECTRICO KOMMERLING ESQ.;
256068;CHAPA TESTAS ELECTRICO KOMMERLING DTº;
256069;CHAPA TESTAS DECEUNINCK 3000 ESQ;
256070;CHAPA TESTAS DECEUNINCK 3000 DTº;
256073;CHAPA TESTAS REHAU 730 ESQ;
256074;CHAPA TESTAS REHAU 730 DTº;
256075;CHAPA TESTAS ELECTRICO REHAU ESQ.;
256076;CHAPA TESTAS ELECTRICO REHAU DTº;
256093;CHAPA TESTAS VEKA ESQ;
256094;CHAPA TESTAS VEKA DTº;
256095;CHAPA TESTAS ELECTRICO VEKA ESQ.;
256096;CHAPA TESTAS ELECTRICO VEKA DTº;
256097;CHAPA TESTAS VEKA ESQ;
256098;CHAPA TESTAS VEKA DTº;
256108;CLICK DO ARONº221 NT;
256111;CREMONA O.B. C.FIXA NT 1001-1200 SEM ROLETES;
256112;CREMONA O.B. C.FIXA NT 1201-1400 SEM ROLETES;
256113;CREMONA O.B. C.FIXA NT 1401-1600 SEM ROLETES;
256114;CREMONA O.B. C.FIXA NT 1601-1800 SEM ROLETES;
256115;CREMONA O.B. C.FIXA NT 1601-1800 SEM ROLETES;
256116;CREMONA O.B. C.FIXA NT 1801-2000 SEM ROLETES;E55P8
256117;CREMONA O.B. C.FIXA NT 2001-2200 SEM ROLETES;E55P8
256118;CREMONA O.B. C.FIXA NT 2201-2400 SEM ROLETES;
256230;MANETE ROTOLINE 35MM CASTANHA;DS5P1
256474;FECHO 2ª FOLHA ALAVANCA  P/ALUMINIO;
25655G;TS5000- GUIA DES. L MONTAGEM INVERSA -  PRATA;GEZE P4
256564;SUPL.PLASTICO P/DOB.FOLHA CAST. ESQ.;
256565;SUPL.PLASTICO P/DOB.FOLHA CAST.DTº;
256566;SUPL.PLASTICO P/DOB.FOLHA BRANCO ESQ.;
256567;SUPL.PLASTICO P/DOB.FOLHA BRANCO DTº;
25656G;TS5000- GUIA DES. L MONTAGEM INVERSA -  RAL 9005;GEZE P4
256584;PEÇA VENTILAÇAO REDUZIDA ARO MADEIRA 7/8;
256633;PEÇA VENTILAÇAO REDUZIDA ARO MADEIRA;CX3
256755;MANETE ROTOLINE 35MM BRANCA;
256756;MANETE ROTOLINE 35MM BRANCA;DS5P2
256765;ELEMENTO FECHO CORRER KOMMERLING;
256781;CLICK ARO VEKA AD/MD 13 - SALAMANDER 82 MD;
256782;CLICK ARO VEKA SOFT. AD NT;
256783;ELEM.FECHO BASC.ARO ESQ. VEKA TOPLINE;
256784;ELEM.FECHO BASC.ARO DTº VEKA TOPLINE;
257070;SEGURANÇA ANTI-ABERTURA NORMAL;A2 CX11
257075;CREMONA C.VARIAVEL 2ª FOLHA TB 45 PARA OP Z 1601-2000;
257076;CREMONA C.VARIAVEL 2ª FOLHA TB 45 PARA OP Z 2001-2400;
257077;CREMONA C.VARIAVEL 2ª FOLHA TB 30 PARA OP Z 901-1200;
257078;CREMONA C.VARIAVEL 2ª FOLHA TB 30 PARA OP Z 1201-1600;
257079;CREMONA C.VARIAVEL 2ª FOLHA TB 30 PARA OP Z 1601-2000;
257083;CONJº CARROS PATIO 180Z NT 13MM 2 FOLHAS;A2.C.3.4
257097;CREMONA OB C.FIXA TB 8 NT 801-1000 1 V;palete
257112;TRANSMISSAO DE ANGULO TIRANTE ROYAL NT 1V 351-1600;
257115;COMPASSO 450 P/MADEIRA 18MM ROYAL DTº;
257123;DOBRADIÇA ARO ROYAL NT 18 MM ESQ;
257125;COMPASSO 450 P/MADEIRA 18MM ROYAL ESQ.;
257137;GUIA DE COMPASSO 2ª FOLHA 601-800 350/690 NT;BS8P1
257138;GUIA DE COMPASSO 2ª FOLHA 801-1000/890 NT;
257139;GUIA DE COMPASSO 2ª FOLHA 801-1000/890 NT 1 V;BS8P1
257252;FALSA MANOBRA CREMONA 2ª FOLHA 7/8 NT;
257326;ELEMENTO FECHO LATERAL SEGURANÇA TRYBA;
257331;CALHA DE FECHO PARA PASSADOR NT TRYBA;
257335;ELEM.FECHO BASC.INF.ARO NT TRYBA ESQº;DS7P5
257336;ELEM.FECHO BASC.INF.ARO NT TRYBA DTº;
257351;DOBRADIÇA INTERMEDIA OCULTA ARO ALUPLAST 5000;CS3P1
257360;CALHA FECHO PARA PASSADOR ALUPLAST 5000;DS4P3
257362;CLICK ARO Nº 230 NT;
257395;PASSADOR PARA PORTA ENTRADA 200MM;
257400;PASSADOR PARA PORTA DE ENTRADA COM SERRILHA;
257598;PROLONGADOR COM ELEMENTO FECHO 1 V 400 NX;BS5P1
257600;FALSA MANOBRA PARA CREMONA 2ª FOLHA NT;CS2P2
257628;MANETE ROTOLINE AMOVIVEL BRANCA;CS14P4
257830;CHAVE PARA MANETE ROTOLINE;CILINDROS P2
257908;CHAPA TESTAS THYSSEN AD ESQ;
257909;CHAPA TESTAS THYSSEN AD DTº;
257910;CHAPA TESTAS ELECTRICO THYSSEN ESQ.;
257911;CHAPA TESTAS ELECTRICO THYSSEN DTº.;
258037;COMPASSO NT 500 /801-1400 ESQ. 12/18/9;ES3P1.1
258038;COMPASSO NT 500 / 801-1400 DTº 12/18/9;ES3P1.2
